Time, x, y, z,,,,,,,,,,,
16.08538975,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
16.10634483,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
16.79238571,0.766,-8.581,-8.274,142.679393,2.144847969,STABLE,,,,,,,,
16.81043567,-3.064,-4.137,-3.371,37.866506,-3.646423316,CHANGE,,,,,,,,
16.83000769,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
16.83972777,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
16.8629917,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
16.87653674,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
16.90592278,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
16.92469563,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
16.94373573,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
16.96767677,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
16.99361481,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
17.01880969,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
17.04396976,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
17.07610072,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
17.09942783,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
17.12472381,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
17.15271677,-3.064,-4.137,-3.371,37.866506,-3.646423316,STABLE,,,,,,,,
17.17568077,1.072,-8.887,-1.838,83.506197,-0.66182748,CHANGE,,,,,,,,
17.20267977,1.072,-8.887,-1.838,83.506197,-0.66182748,STABLE,,,,,,,,
17.22869672,1.072,-8.887,-1.838,83.506197,-0.66182748,STABLE,,,,,,,,
17.25956382,1.072,-8.887,-1.838,83.506197,-0.66182748,STABLE,,,,,,,,
17.28239573,1.072,-8.887,-1.838,83.506197,-0.66182748,STABLE,,,,,,,,
17.30617179,1.072,-8.887,-1.838,83.506197,-0.66182748,STABLE,,,,,,,,
17.33039273,1.072,-8.887,-1.838,83.506197,-0.66182748,STABLE,,,,,,,,
